 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:7/13 t:1/95 - Mark_and_Find 001/mT8 50 vv% 4025,61.842962298,7192.123213919,636.346109975,7233.458533287,5577.781738281,8235.168945312,290.437565610,266.624239637,0,0,47.751787407,279.381380289,246.212814593,24.238567240,43.374278218,0,0,-61.837472626,0.340816713,47.751790469,444782.204763228,7251.955078125,0,0,0,273300.682128906,7,1,218.833328247,192.500000000,118.162534238,0.000000000,0.000000000,0.000000000,NaN,47.751787407
2,1 sec:z:7/13 t:2/95 - Mark_and_Find 001/mT8 50 vv% 4025,66.725301427,7086.836128049,758.946810733,6686.904918671,4954.259765625,8666.035156250,291.075432376,267.687328203,0,0,51.662482103,281.932808420,243.661386462,19.135710979,49.752848545,0,0,-69.775140569,0.314159265,51.662482103,472871.276808751,7129.737792969,0,0,0,290560.281250000,7,2,221.166671753,190.833328247,110.224859431,0.000000000,0.000000000,0.000000000,NaN,51.662482103
3,1 sec:z:7/13 t:3/95 - Mark_and_Find 001/mT8 50 vv% 4025,60.215515922,6918.223210515,845.045874673,7784.454468727,5346.604980469,8339.839843750,290.650181377,266.199008104,0,0,46.436692912,276.829952159,247.488528658,29.341423501,38.271421957,0,0,-52.815293547,0.350909972,46.436692912,416584.379885053,6740.493652344,0,0,0,255974.258789062,7,3,216.833328247,194.166671753,127.184706453,0.000000000,0.000000000,0.000000000,NaN,46.436692912
4,1 sec:z:7/13 t:4/95 - Mark_and_Find 001/mT8 50 vv% 4025,53.705730417,6804.250887784,836.136416745,5316.724356651,5308.583496094,9476.704101562,290.437565610,267.474722169,0,0,40.202426283,283.208522485,248.764242723,16.584282848,38.271421957,0,0,-66.960564020,0.417566802,40.202423743,365427.263868698,6749.576171875,0,0,0,224540.279296875,7,4,221.500000000,195.166671753,113.039427470,0.000000000,0.000000000,0.000000000,NaN,40.202426283
5,1 sec:z:7/13 t:5/95 - Mark_and_Find 001/mT8 50 vv% 4025,50.450837664,6524.050072455,473.089684782,6567.902499199,5658.588378906,7127.259765625,288.524004246,266.198998371,0,0,37.932089634,276.829952159,251.315670854,24.238567240,31.892851631,0,0,-52.744710546,0.440620510,37.932094799,329143.791119941,6569.096191406,0,0,0,202245.552246094,7,5,217.166671753,196.833328247,127.255283520,0.000000000,0.000000000,0.000000000,NaN,37.932089634
6,1 sec:z:7/13 t:6/95 - Mark_and_Find 001/mT8 50 vv% 4025,52.078284041,7002.102165222,1076.500317168,6798.090039730,3982.434326172,8803.891601562,288.949235779,265.135900072,0,0,39.205008464,274.278524028,252.591384919,30.617137566,26.789995370,0,0,-139.398705355,0.425778204,39.205018318,364657.465442365,7071.257812500,0,0,0,224067.269287109,7,6,214.833328247,217.833328247,40.601282302,0.000000000,0.000000000,0.000000000,NaN,39.205008464
7,1 sec:z:7/13 t:7/95 - Mark_and_Find 001/mT8 50 vv% 4025,52.078284041,6738.609497070,1127.499779949,5630.419657707,4159.005371094,8415.299804688,287.248280447,263.222328974,0,0,39.031661963,270.451381833,253.867098984,35.719993827,20.411425044,0,0,29.357753543,0.429568515,39.031667618,350935.219427714,7043.359863281,0,0,0,215635.503906250,7,7,211.833328247,213.833328247,29.357748873,0.000000000,0.000000000,0.000000000,NaN,39.031661963
8,1 sec:z:7/13 t:8/95 - Mark_and_Find 001/mT8 50 vv% 4025,50.450837664,6743.428821195,791.781426246,4972.710727692,4965.024414062,8900.416992188,290.437565610,268.537810735,0,0,38.873826337,284.484236550,250.039956789,14.032854718,38.271421957,0,0,-70.177535430,0.419530621,38.873811928,340211.632759642,6672.140136719,0,0,0,209046.293457031,7,8,222.500000000,196.166671753,109.822462060,0.000000000,0.000000000,0.000000000,NaN,38.873826337
9,1 sec:z:7/13 t:9/95 - Mark_and_Find 001/mT8 50 vv% 4025,52.078284041,6714.517593384,934.078913822,6493.936157227,4581.376953125,8748.314453125,294.264717539,270.663997599,0,0,39.142692161,288.311378746,252.591384919,12.757140652,38.271421957,0,0,-107.056965577,0.427134986,39.142685957,349680.554424446,6792.104980469,0,0,0,214864.562988281,7,9,226.166671753,226.833328247,72.943031637,1.776E-15,0.000000000,0.000000000,NaN,39.142692161
10,1 sec:z:7/13 t:10/95 - Mark_and_Find 001/mT8 50 vv% 4025,63.470408675,6588.513521635,964.288856690,5680.086565971,4696.080566406,9587.450195312,288.524004246,277.042577658,0,0,49.077699996,284.484236550,252.591384919,8.929998457,49.752848545,0,0,-98.972626615,0.331140847,49.077699996,418175.645776211,6495.682617188,0,0,0,256952.027343750,7,10,223.166671753,236.166671753,81.027373385,8.882E-16,0.000000000,0.000000000,NaN,49.077699996
11,1 sec:z:6/13 t:11/95 - Mark_and_Find 001/mT8 50 vv% 4025,63.470408675,6594.714355469,954.281831376,5478.901850700,4568.342285156,8486.043945312,286.610433148,278.743523257,0,0,48.493917286,285.759950616,255.142813050,2.551428130,49.752848545,0,0,-91.507435759,0.339161560,48.493917286,418569.215233787,6622.820312500,0,0,0,257193.859863281,6,11,224.166671753,237.500000000,88.492564241,0.000000000,0.000000000,0.000000000,NaN,48.493917286
12,1 sec:z:6/13 t:12/95 - Mark_and_Find 001/mT8 50 vv% 4025,78.117426061,6668.110341390,838.128835776,7371.569662094,4456.978515625,8567.916992188,285.972566382,286.397807648,0,0,59.920850802,283.208522485,256.418527115,7.654284391,61.234275132,0,0,-83.480198248,0.273402100,59.920837172,520895.616560346,6696.911621094,0,0,0,320069.296386719,6,12,221.500000000,201.166671753,96.519796996,1.776E-15,0.000000000,0.000000000,NaN,59.920850802
13,1 sec:z:6/13 t:13/95 - Mark_and_Find 001/mT8 50 vv% 4025,78.117426061,6809.476023356,838.125864303,6622.167119026,4690.134277344,8210.421875000,284.271620784,287.460905947,0,0,60.024873592,276.829952159,258.969955245,16.584282848,58.682847001,0,0,-76.062202792,0.272455313,60.024878326,531938.739768904,6814.382812500,0,0,0,326854.849121094,6,13,217.166671753,202.500000000,103.937789705,0.000000000,0.000000000,0.000000000,NaN,60.024873592
14,1 sec:z:6/13 t:14/95 - Mark_and_Find 001/mT8 50 vv% 4025,81.372318814,7114.441914062,809.298578526,7004.073997498,5494.105468750,9089.937500000,284.909477816,287.673521713,0,0,62.156068649,283.208522485,256.418527115,5.102856261,63.785703262,0,0,-92.744955894,0.264678997,62.156055376,578918.635611768,7049.482421875,0,0,0,355722.095703125,6,14,222.166671753,249.833328247,87.255049508,0.000000000,0.000000000,0.000000000,NaN,62.156068649
