 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series04.tif:z:13/23 t:1/95 - Mark_and_Find 001/mT8 Control005,27.666921266,8287.142405790,944.942423528,8825.312137604,7357.712890625,10788.812500000,363.643707120,86.717222233,0,0,20.220455049,361.029252299,76.543304374,6.378608698,21.687269573,0,0,75.465544919,0.850332637,20.220463930,229279.716460937,8023.956542969,0,0,0,140881.420898438,13,1,283.060485840,75.646507263,75.465509324,0.000000000,0.000000000,0.000000000,NaN,20.220455049
2,series04.tif:z:13/23 t:2/95 - Mark_and_Find 001/mT8 Control005,32.549319136,7257.899218750,1228.687234821,7361.619134903,5681.122070312,10833.304687500,363.281231313,85.267345769,0,0,23.613416008,359.753530560,73.991860895,8.930052177,24.238713052,0,0,72.121303404,0.733557456,23.613413065,236239.677931231,7111.656250000,0,0,0,145157.984375000,13,2,281.923980713,75.646507263,72.121362131,0.000000000,0.000000000,0.000000000,NaN,23.613416008
3,series04.tif:z:13/23 t:3/95 - Mark_and_Find 001/mT8 Control005,29.294387223,6939.712429470,974.610716604,5051.813248634,5044.216308594,8933.849609375,363.643687654,83.817469305,0,0,22.012358990,359.753530560,72.716139156,8.930052177,22.962991312,0,0,72.758540601,0.759733205,22.012362015,203294.623123775,6791.834960938,0,0,0,124914.823730469,13,3,282.492218018,73.941734314,72.758538098,0.000000000,0.000000000,0.000000000,NaN,22.012358990
4,series04.tif:z:12/23 t:4/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7517.747635691,1050.381530262,5790.479604721,5783.034179688,9595.091796875,363.281231313,85.267345769,0,0,23.209354345,359.753530560,73.991860895,7.654330437,24.238713052,0,0,75.529705900,0.721355354,23.209365715,232462.688632270,7468.502929688,0,0,0,142837.205078125,12,4,282.492218018,75.646507263,75.529642859,0.000000000,0.000000000,0.000000000,NaN,23.209354345
5,series04.tif:z:12/23 t:5/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7203.657740543,1050.778156213,8879.024752617,5383.039550781,8885.866210938,362.918774971,84.542406321,0,0,23.401030674,359.753530560,72.716139156,7.654330437,24.238713052,0,0,73.810793743,0.709586601,23.401030952,222750.447009300,7174.059082031,0,0,0,136869.497070312,12,5,281.923980713,75.078247070,73.810789314,0.000000000,0.000000000,0.000000000,NaN,23.401030674
6,series04.tif:z:12/23 t:6/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7133.195672286,1155.217782958,6626.010817528,5029.245605469,8762.322265625,362.918755505,84.904877261,0,0,23.479501416,361.029252299,72.716139156,5.102886958,25.514434791,0,0,81.119340849,0.704851514,23.479502738,220571.629279938,7531.610351562,0,0,0,135530.717773438,12,6,283.060485840,75.646507263,81.119370915,0.000000000,0.000000000,0.000000000,NaN,23.479501416
7,series04.tif:z:12/23 t:7/95 - Mark_and_Find 001/mT8 Control005,34.176785093,7328.242466518,1495.875231173,6827.687091827,4871.152343750,11975.732421875,362.193823356,86.717219800,0,0,25.630444195,359.753530560,73.991860895,5.102886958,26.790156531,0,0,81.869897646,0.653775747,25.630446966,250455.767889517,7574.726562500,0,0,0,153893.091796875,12,7,282.492218018,77.919532776,81.869837644,0.000000000,0.000000000,0.000000000,NaN,25.630444195
8,series04.tif:z:12/23 t:8/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7317.895739104,933.050228944,7753.314224243,5270.879882812,9410.965820312,361.831347549,86.717222233,0,0,22.519813164,361.029252299,75.267582635,2.551443479,24.238713052,0,0,86.308614014,0.766206464,22.519812118,226282.897628333,7544.166992188,0,0,0,139040.019042969,12,8,283.060485840,76.783020020,86.308645900,0.000000000,0.000000000,0.000000000,NaN,22.519813164
9,series04.tif:z:11/23 t:9/95 - Mark_and_Find 001/mT8 Control005,29.294387223,8125.044840495,587.606273032,7974.445240974,6890.479980469,9084.117187500,361.468871742,86.717219800,0,0,21.135405730,359.753530560,76.543304374,3.827165219,21.687269573,0,0,-84.093858886,0.824087076,21.135403541,238018.209760054,8151.412109375,0,0,0,146250.807128906,11,9,282.492218018,59.735294342,95.906143376,0.000000000,0.000000000,0.000000000,NaN,21.135405730
10,series04.tif:z:11/23 t:10/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7837.335295025,852.270740223,6673.359008789,6666.687500000,10082.500000000,361.029252299,86.749078291,0,0,22.767255154,358.477808820,75.267582635,6.378608698,24.238713052,0,0,-78.690067526,0.749642203,22.767255154,242344.931312211,7700.457031250,0,0,0,148909.370605469,11,10,281.250000000,59.250000000,101.309932474,8.882E-16,0.000000000,0.000000000,NaN,22.767255154
11,series04.tif:z:11/23 t:11/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7786.694027549,903.950500848,6233.541450500,6228.500000000,8809.722656250,359.434600125,85.632821769,0,0,22.920871584,353.374921862,76.543304374,14.032939135,20.411547833,0,0,-58.079123780,0.739627622,22.920871584,240779.009474509,7878.521484375,0,0,0,147947.186523438,11,11,277.000000000,59.500000000,121.920876220,0.000000000,0.000000000,0.000000000,NaN,22.920871584
12,series04.tif:z:11/23 t:12/95 - Mark_and_Find 001/mT8 Control005,30.921853180,7811.928531044,815.207394072,6141.994963646,6136.078613281,9165.250000000,358.158878385,84.357100029,0,0,22.517934234,349.547756643,77.819026114,19.135826094,15.308660875,0,0,-37.519113820,0.766334336,22.517934234,241559.307086644,7927.402832031,0,0,0,148426.642089844,11,12,273.750000000,60.750000000,142.480886180,0.000000000,0.000000000,0.000000000,NaN,22.517934234
13,series04.tif:z:11/23 t:13/95 - Mark_and_Find 001/mT8 Control005,29.294387223,8036.949245877,979.644637876,8006.499530792,5992.250000000,10100.998046875,358.158878385,84.357100029,0,0,22.070815667,352.099200122,75.267582635,14.032939135,19.135826094,0,0,-52.633330587,0.755714082,22.070815667,235437.503298690,8009.263671875,0,0,0,144665.086425781,11,13,275.500000000,59.250000000,127.366669413,1.776E-15,0.000000000,0.000000000,NaN,22.070815667
14,series04.tif:z:11/23 t:14/95 - Mark_and_Find 001/mT8 Control005,29.294387223,8072.958387587,890.520497647,9315.820297241,6616.919921875,9466.068359375,357.999413168,84.357100029,0,0,21.766856151,350.823478383,76.543304374,15.308660875,17.860104354,0,0,-50.946863054,0.776967526,21.766856151,236492.369039506,8090.524414062,0,0,0,145313.250976562,11,14,275.250000000,59.500000000,129.053136946,0.000000000,0.000000000,0.000000000,NaN,21.766856151
15,series04.tif:z:11/23 t:15/95 - Mark_and_Find 001/mT8 Control005,26.039455309,7519.069152832,909.899823487,5823.084114075,5817.000000000,8932.066406250,358.158878385,83.559773942,0,0,19.399780991,352.099200122,76.543304374,14.032939135,15.308660875,0,0,-46.332219854,0.869456994,19.399780991,195792.465171609,7495.113281250,0,0,0,120305.106445312,11,15,275.500000000,60.000000000,133.667780146,0.000000000,0.000000000,0.000000000,NaN,19.399780991
16,series04.tif:z:11/23 t:16/95 - Mark_and_Find 001/mT8 Control005,26.039455309,7902.740844727,1130.659425654,7037.427246094,4933.500000000,9596.750000000,358.477808820,83.240843507,0,0,18.596680237,357.202087081,73.991860895,3.827165219,20.411547833,0,0,-84.093858886,0.946173787,18.596680237,205783.067046084,7872.274414062,0,0,0,126443.853515625,11,16,280.250000000,58.000000000,95.906141114,0.000000000,0.000000000,0.000000000,NaN,18.596680237
17,series04.tif:z:11/23 t:17/95 - Mark_and_Find 001/mT8 Control005,26.039455309,7892.694213867,1101.597934502,5464.903203964,5455.812500000,10110.252929688,358.318343603,82.443517420,0,0,19.034563526,357.202087081,72.716139156,3.827165219,20.411547833,0,0,-81.326825952,0.903141740,19.034563526,205521.458250814,7985.981445312,0,0,0,126283.107421875,11,17,279.750000000,57.250000000,98.673174048,0.000000000,0.000000000,0.000000000,NaN,19.034563526
18,series04.tif:z:11/23 t:18/95 - Mark_and_Find 001/mT8 Control005,29.294387223,8508.888156467,1121.232336510,6607.356105804,6601.000000000,9855.326171875,358.477808820,83.878704377,0,0,21.441994609,348.272034904,80.370469593,21.687269573,8.930052177,0,0,22.750976343,0.800689101,21.441994609,249262.664491028,9077.437500000,0,0,0,153159.986816406,11,18,273.250000000,69.000000000,22.750976343,8.882E-16,0.000000000,0.000000000,NaN,21.441994609
