 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:5/9 t:1/95 - Mark_and_Find 001/mN10 control 4012,34.176373902,5195.994280134,1152.827090371,4765.059803963,3829.067871094,8307.833007812,585.127524416,140.115931411,0,0,24.958972482,576.622757492,131.398548721,19.135710979,19.135710979,0,0,-134.309722802,0.689417720,24.958963417,177580.243308964,4879.496582031,0,0,0,109115.879882812,5,1,451.833343506,116.833335876,45.690298515,1.776E-15,0.000000000,0.000000000,NaN,24.958972482
2,1 sec:z:4/9 t:2/95 - Mark_and_Find 001/mN10 control 4012,34.176373902,5136.706996373,1414.220881834,4363.465824127,3806.767578125,8807.285156250,584.702273417,139.903310778,0,0,25.265008099,575.347043427,131.398548721,20.411425044,19.135710979,0,0,-136.363927532,0.672817010,25.265015252,175554.018931526,4706.181152344,0,0,0,107870.846923828,4,2,451.166656494,116.500000000,43.636046835,0.000000000,0.000000000,0.000000000,NaN,25.265008099
3,1 sec:z:2/9 t:3/95 - Mark_and_Find 001/mN10 control 4012,34.176373902,6287.088936942,518.696490251,6194.140570641,5220.796875000,7455.559082031,584.702273417,139.903310778,0,0,25.265008099,575.347043427,131.398548721,20.411425044,19.135710979,0,0,-136.363927532,0.672817010,25.265015252,214869.902262185,6239.933105469,0,0,0,132028.867675781,2,3,451.166656494,116.500000000,43.636046835,0.000000000,0.000000000,0.000000000,NaN,25.265008099
4,1 sec:z:2/9 t:4/95 - Mark_and_Find 001/mN10 control 4012,29.294034773,6537.304931641,1062.665916834,4904.297144890,4897.084472656,8589.972656250,586.669005756,143.358368082,0,0,21.140895466,580.449899688,135.225690916,14.032854718,17.859996913,0,0,56.070202578,0.823649235,21.140895466,191504.037988451,6371.234375000,0,0,0,117671.488769531,2,4,455.250000000,119.250000000,56.070202578,0.000000000,0.000000000,0.000000000,NaN,21.140895466
5,1 sec:z:3/9 t:5/95 - Mark_and_Find 001/mN10 control 4012,30.921481149,6061.629394531,1509.006118236,3901.794107437,3892.125000000,8842.708007812,584.914898916,143.198903824,0,0,23.042447358,577.898471557,135.225690916,16.584282848,17.859996913,0,0,48.366460663,0.731834610,23.042447358,187434.559056187,6203.125000000,0,0,0,115170.958496094,3,5,452.500000000,119.000000000,48.366460663,0.000000000,0.000000000,0.000000000,NaN,23.042447358
6,1 sec:z:2/9 t:6/95 - Mark_and_Find 001/mN10 control 4012,32.548927525,5598.396679688,581.314078314,5083.818449020,4656.290039062,6741.000000000,581.725613753,144.474617889,0,0,23.968491209,571.519901231,139.052833112,22.962853174,11.481426587,0,0,25.201123645,0.711975672,23.968491209,182221.807785761,5530.969726562,0,0,0,111967.933593750,2,6,447.500000000,117.250000000,25.201123645,0.000000000,0.000000000,0.000000000,NaN,23.968491209
7,1 sec:z:2/9 t:7/95 - Mark_and_Find 001/mN10 control 4012,26.039142020,5394.242065430,395.859254236,4649.711674690,4647.055664062,6006.933105469,581.566149495,142.720511050,0,0,18.884231178,572.795615296,141.604261243,19.135710979,3.827142196,0,0,4.844000375,0.917567278,18.884231178,140461.435233841,5360.399902344,0,0,0,86307.873046875,2,7,448.500000000,112.500000000,4.844000375,0.000000000,0.000000000,0.000000000,NaN,18.884231178
8,1 sec:z:2/9 t:8/95 - Mark_and_Find 001/mN10 control 4012,22.784249268,6102.681431362,935.620237096,5030.147817612,5024.388183594,7973.320800781,581.087756720,144.315153631,0,0,15.975103595,577.898471557,137.777119047,7.654284391,15.308568783,0,0,116.053495310,1.000000000,15.975103595,139045.014934127,5880.834960938,0,0,0,85437.540039062,2,8,452.750000000,107.500000000,116.053495310,0.000000000,0.000000000,0.000000000,NaN,15.975103595
9,1 sec:z:2/9 t:9/95 - Mark_and_Find 001/mN10 control 4012,32.548927525,5713.719702148,770.378524877,4245.646435738,4239.117675781,7581.842773438,582.522935044,143.677296599,0,0,23.921764819,570.244187166,144.155689373,25.514281305,1.275714065,0,0,0.763898461,0.714759793,23.921764819,185975.448485855,5734.299804688,0,0,0,114274.394042969,2,9,447.250000000,112.750000000,0.763898461,0.000000000,0.000000000,0.000000000,NaN,23.921764819
10,1 sec:z:3/9 t:10/95 - Mark_and_Find 001/mN10 control 4012,27.666588397,5807.674373851,1511.001066700,3803.059776306,3792.394531250,9253.000000000,583.479720593,142.720511050,0,0,19.973176838,575.347043427,136.501404982,17.859996913,14.032854718,0,0,38.516926307,0.871507600,19.973176838,160678.536442914,5614.828125000,0,0,0,98730.464355469,3,10,451.250000000,116.750000000,38.516926307,0.000000000,0.000000000,0.000000000,NaN,19.973176838
11,1 sec:z:2/9 t:11/95 - Mark_and_Find 001/mN10 control 4012,24.411695644,6753.312337240,1480.362613397,7281.593717575,5108.004882812,10484.224609375,585.074363174,143.677296599,0,0,17.842903277,581.725613753,135.225690916,8.929998457,17.859996913,0,0,65.725558866,0.963555574,17.842903277,164859.805366056,6352.949218750,0,0,0,101299.685058594,2,11,455.750000000,119.000000000,65.725558866,0.000000000,0.000000000,0.000000000,NaN,17.842903277
