 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series04_masked.tif:z:4/23 t:1/95 - Mark_and_Find 001/mT8 Control005,81.373297841,8047.409960937,1652.769696366,7813.045241356,5549.022949219,11953.329101562,269.764176280,289.337509759,0,0,62.277232835,241.111408780,276.831617488,58.683200020,26.790156531,0,0,24.775140569,0.263653273,62.277232483,654844.287600855,7559.344726562,0,0,0,402370.498046875,4,1,189.298004150,237.031631470,24.775148074,0.000000000,0.000000000,0.000000000,NaN,62.277232835
2,series04_masked.tif:z:4/23 t:2/95 - Mark_and_Find 001/mT8 Control005,89.510627625,8174.434614702,1418.037872387,9570.626744270,5208.747558594,11228.375976562,269.401710206,289.699985566,0,0,68.444324441,239.835687040,273.004452269,61.234643500,34.444486969,0,0,28.465162143,0.240109633,68.444332070,731698.772843250,8211.081054688,0,0,0,449593.903808594,4,2,187.593231201,239.872924805,28.465167320,0.000000000,0.000000000,0.000000000,NaN,68.444324441
3,series04_masked.tif:z:3/23 t:3/95 - Mark_and_Find 001/mT8 Control005,83.000763798,8170.089661841,1924.213098327,5478.298760414,5194.687988281,12837.251953125,270.126642355,290.062451640,0,0,63.335726653,243.662852259,273.004452269,53.580313062,35.720208708,0,0,33.326289687,0.260012626,63.335711889,678123.682230389,7950.729980469,0,0,0,416674.572753906,3,3,191.002777100,241.009429932,33.326287873,0.000000000,0.000000000,0.000000000,NaN,63.335726653
4,series04_masked.tif:z:3/23 t:4/95 - Mark_and_Find 001/mT8 Control005,87.883161668,8354.941406250,1613.292637436,7854.263488770,5493.899414062,12818.180664062,269.039234399,289.699985566,0,0,67.714838064,242.387130519,269.177287050,54.856034802,42.098817406,0,0,37.605991357,0.240850664,67.714846619,734258.666335437,7953.544433594,0,0,0,451166.835937500,3,4,189.866256714,243.282470703,37.605998058,0.000000000,0.000000000,0.000000000,NaN,67.714838064
5,series04_masked.tif:z:3/23 t:5/95 - Mark_and_Find 001/mT8 Control005,96.020491453,8067.272436110,1330.575541441,4971.113471985,4959.162109375,11078.259765625,266.625843571,290.226695753,0,0,73.610851703,229.629913123,289.588834883,75.267582635,3.827165219,0,0,1.986340696,0.222684559,73.610838734,774623.463996501,8264.473632812,0,0,0,475969.073730469,3,5,180.166671753,228.500000000,1.986341046,0.000000000,0.000000000,0.000000000,NaN,73.610851703
6,series04_masked.tif:z:3/23 t:6/95 - Mark_and_Find 001/mT8 Control005,99.275423366,8183.521692495,1227.078926379,5710.861096382,5700.956542969,10772.087890625,264.074400092,290.439322532,0,0,76.979116508,225.802747905,289.588834883,77.819026114,2.551443479,0,0,0.949566856,0.210526014,76.979129483,812422.580648502,8164.805664062,0,0,0,499194.823242188,3,6,176.833328247,228.166671753,0.949566696,0.000000000,0.000000000,0.000000000,NaN,76.979116508
7,series04_masked.tif:z:3/23 t:7/95 - Mark_and_Find 001/mT8 Control005,102.530355280,7987.297991071,887.728302788,7785.332464218,5500.730468750,9785.405273438,262.373434528,291.289800447,0,0,79.548408527,223.251304425,290.864556623,80.370469593,2.551443479,0,0,1.531607792,0.203610109,79.548402214,818940.500750141,7956.337890625,0,0,0,503199.773437500,3,7,174.500000000,229.166671753,1.531612589,0.000000000,0.000000000,0.000000000,NaN,79.548408527
8,series04_masked.tif:z:3/23 t:8/95 - Mark_and_Find 001/mT8 Control005,109.040219107,7922.035593517,1049.608668404,7953.360049248,5476.477050781,11723.590820312,262.160817482,294.053860972,0,0,84.544843026,220.699860946,290.864556623,85.473356551,8.930052177,0,0,5.194428908,0.191700098,84.544843026,863820.496891180,7969.340820312,0,0,0,530776.384765625,3,8,172.500000000,233.500000000,5.194428908,0.000000000,0.000000000,0.000000000,NaN,84.544843026
9,series04_masked.tif:z:3/23 t:9/95 - Mark_and_Find 001/mT8 Control005,110.667685064,8028.759622013,943.095239352,7913.064360619,5435.527832031,9982.118164062,261.310339567,293.203373323,0,0,85.658273690,219.424139207,288.313113144,85.473356551,11.481495656,0,0,6.842773413,0.189536150,85.658280132,888524.241302717,8103.065429688,0,0,0,545955.654296875,3,9,171.500000000,233.833328247,6.842772896,0.000000000,0.000000000,0.000000000,NaN,85.658273690
10,series04_masked.tif:z:3/23 t:10/95 - Mark_and_Find 001/mT8 Control005,117.177548891,8182.342569987,1084.001075794,7404.367448807,4832.694335938,10790.597656250,259.609374003,295.754826536,0,0,90.070733122,215.596973988,287.037391404,89.300521770,19.135826094,0,0,10.885527055,0.181504283,90.070744641,958786.846539143,8111.183593750,0,0,0,589128.665039062,3,10,168.833328247,238.500000000,10.885521442,0.000000000,0.000000000,0.000000000,NaN,90.070733122
11,series04_masked.tif:z:3/23 t:11/95 - Mark_and_Find 001/mT8 Control005,122.059946762,8153.264700521,1173.292427650,8772.506942749,4345.704101562,10454.930664062,258.121025485,295.754816803,0,0,94.377545961,211.769808769,288.313113144,94.403408728,16.584382614,0,0,9.334998463,0.172204969,94.377545961,995187.055279294,8275.228515625,0,0,0,611494.852539062,3,11,165.833328247,237.833328247,9.334998463,0.000000000,0.000000000,0.000000000,NaN,94.377545961
