 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series04_masked.tif:z:20/23 t:1/95 - Mark_and_Find 001/mT8 Control005,53.706376575,8291.871286103,864.637632432,7814.304765701,5768.250000000,10188.418945312,502.474900175,279.861456619,0,0,40.615762710,497.531478434,260.247234873,11.481495656,40.823095666,0,0,-74.981639369,0.409116024,40.615762710,445326.361803970,8300.545898438,0,0,0,273631.752441406,20,1,389.750000000,204.000000000,105.018360631,0.000000000,0.000000000,0.000000000,NaN,40.615762710
2,series04_masked.tif:z:20/23 t:2/95 - Mark_and_Find 001/mT8 Control005,52.078910618,7420.747344971,1194.670578416,6528.705977440,5041.944824219,9294.580078125,501.837039305,278.266804445,0,0,39.744926020,496.255756694,258.971513134,12.757217396,39.547373927,0,0,-72.728257422,0.414293738,39.744926020,386464.437699777,7503.089843750,0,0,0,237463.915039062,20,2,388.750000000,203.250000000,107.271742578,0.000000000,0.000000000,0.000000000,NaN,39.744926020
3,series04_masked.tif:z:20/23 t:3/95 - Mark_and_Find 001/mT8 Control005,52.078910618,7117.849746704,1395.844076973,5616.505662918,5607.532226562,10201.931640625,501.039713218,277.628943575,0,0,39.223257288,497.531478434,258.971513134,8.930052177,39.547373927,0,0,-79.695153531,0.425387223,39.223257288,370689.860753151,6657.670898438,0,0,0,227771.191894531,20,3,390.000000000,202.500000000,100.304846469,0.000000000,0.000000000,0.000000000,NaN,39.223257288
4,series04_masked.tif:z:20/23 t:4/95 - Mark_and_Find 001/mT8 Control005,50.451444661,6986.033470892,1227.976328454,6331.600577354,5402.003417969,9689.875000000,501.518108870,278.585734880,0,0,38.812667730,500.082921913,258.971513134,5.102886958,40.823095666,0,0,-83.867777502,0.420858867,38.812667730,352455.481060004,6841.924804688,0,0,0,216567.037597656,20,4,391.500000000,203.250000000,96.132222498,0.000000000,0.000000000,0.000000000,NaN,38.812667730
5,series04_masked.tif:z:19/23 t:5/95 - Mark_and_Find 001/mT8 Control005,55.333842532,7844.862031824,913.002825721,7672.565761566,6162.533203125,9725.375000000,501.358643653,278.107339227,0,0,42.550627222,484.774261038,264.074400092,34.444486969,29.341600010,0,0,-139.864514438,0.384050877,42.550627222,434086.360353867,7820.645507812,0,0,0,266725.309082031,19,5,380.250000000,228.750000000,40.135485562,0.000000000,0.000000000,0.000000000,NaN,42.550627222
6,series04_masked.tif:z:19/23 t:6/95 - Mark_and_Find 001/mT8 Control005,55.333842532,7484.776898552,1268.348551633,5312.590334892,5247.024902344,10042.667968750,500.082921913,277.788408792,0,0,42.435728829,484.774261038,264.074400092,31.893043489,29.341600010,0,0,-137.436648247,0.386133394,42.435728829,414161.466291294,7489.238281250,0,0,0,254482.414550781,19,6,379.750000000,229.000000000,42.563351753,3.553E-15,0.000000000,0.000000000,NaN,42.435728829
7,series04_masked.tif:z:19/23 t:7/95 - Mark_and_Find 001/mT8 Control005,56.961308489,7808.937751116,1008.820171151,7205.990437508,5984.843261719,10181.000000000,499.763991478,279.223595749,0,0,42.885175152,486.049982778,262.798678352,28.065878271,34.444486969,0,0,51.340191746,0.389202342,42.885175152,444807.312210960,7564.021972656,0,0,0,273312.821289062,19,7,381.250000000,232.000000000,51.340191746,0.000000000,0.000000000,0.000000000,NaN,42.885175152
8,series04_masked.tif:z:19/23 t:8/95 - Mark_and_Find 001/mT8 Control005,60.216240402,7787.230970228,869.480239720,7105.918972015,6437.962890625,10115.312500000,498.488269739,279.223595749,0,0,45.419322066,484.774261038,261.522956613,28.065878271,36.995930448,0,0,53.854308188,0.366810877,45.419322066,468917.772172413,7753.833496094,0,0,0,288127.545898438,19,8,380.250000000,233.250000000,53.854308188,0.000000000,0.000000000,0.000000000,NaN,45.419322066
9,series04_masked.tif:z:19/23 t:9/95 - Mark_and_Find 001/mT8 Control005,63.471172316,7587.307667268,1035.892359488,6854.667987823,5722.076171875,9834.750000000,498.169339304,279.701991402,0,0,48.351368615,483.498539299,260.247234873,30.617321750,40.823095666,0,0,53.583621480,0.341168433,48.351368615,481575.312364131,7420.512695312,0,0,0,295904.999023438,19,9,379.250000000,234.500000000,53.583621480,0.000000000,0.000000000,0.000000000,NaN,48.351368615
10,series04_masked.tif:z:19/23 t:10/95 - Mark_and_Find 001/mT8 Control005,68.353570187,7563.132917132,1110.206184805,6317.662417412,5215.151855469,11157.103515625,497.053082782,280.499317489,0,0,52.064844034,480.947095819,260.247234873,34.444486969,42.098817406,0,0,49.969740728,0.316870584,52.064844034,516967.136681213,7339.239257812,0,0,0,317651.582519531,19,10,376.500000000,235.500000000,49.969740728,3.553E-15,0.000000000,0.000000000,NaN,52.064844034
