 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series02.tif:z:5/9 t:1/95 - Mark_and_Find 001/mN 50 vv%002,35.804251050,9223.681884766,1464.176118352,8612.796705246,6701.000000000,12492.952148438,303.621774019,291.502417493,0,0,26.911379578,302.346052279,278.107339227,3.827165219,28.065878271,0,0,-84.559667969,0.621258772,26.911379578,330247.021808287,8849.238281250,0,0,0,202921.001464844,5,1,237.000000000,218.000000000,95.440332031,0.000000000,0.000000000,0.000000000,NaN,26.911379578
2,series02.tif:z:4/9 t:2/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,7309.890157948,939.725439677,7095.556274414,5589.896484375,9425.208984375,298.399239482,300.936531202,0,0,28.309750917,289.588834883,289.588834883,19.135826094,22.962991312,0,0,-50.194428908,0.586918118,28.309739683,273621.739743913,7380.788085938,0,0,0,168127.473632812,4,2,226.802993774,227.371261597,129.805586225,0.000000000,0.000000000,0.000000000,NaN,28.309750917
3,series02.tif:z:4/9 t:3/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,6526.806933594,848.925283618,5934.487776756,5202.834472656,8460.282226562,301.661473084,306.011095176,0,0,30.274317880,297.243165321,292.140278362,10.205773917,29.341600010,0,0,-73.300755766,0.557844367,30.274320086,265553.902279362,6434.340332031,0,0,0,163170.173339844,4,3,233.053833008,228.507766724,106.699247763,0.000000000,0.000000000,0.000000000,NaN,30.274317880
4,series02.tif:z:4/9 t:4/95 - Mark_and_Find 001/mN 50 vv%002,39.059182964,7017.995279948,1134.900710641,7622.289196968,4786.728027344,9146.509765625,302.386405233,310.723193075,0,0,28.861291397,299.794608800,295.967443581,6.378608698,30.617321750,0,0,-78.407824590,0.589252589,28.861296817,274117.161678087,7011.625976562,0,0,0,168431.886718750,4,4,234.758605957,232.485565186,101.592150173,0.000000000,0.000000000,0.000000000,NaN,28.861291397
5,series02.tif:z:4/9 t:5/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,6643.632387908,1138.552891034,5671.621498108,4498.707031250,8947.093750000,304.198745338,316.522698930,0,0,28.356122366,303.621774019,302.346052279,2.551443479,29.341600010,0,0,-85.601294645,0.585000085,28.356110845,248682.567442093,6885.834960938,0,0,0,152803.544921875,4,5,237.599884033,237.031631470,94.398708372,0.000000000,0.000000000,0.000000000,NaN,28.356122366
6,series02.tif:z:3/9 t:6/95 - Mark_and_Find 001/mN 50 vv%002,39.059182964,8292.651794434,1609.985713586,7598.003721237,5882.321289062,12691.851562500,311.085668882,326.671836610,0,0,29.757817707,310.000382717,311.276104456,2.551443479,31.893043489,0,0,-92.792702366,0.554282109,29.757812390,323904.203693295,8003.500488281,0,0,0,199023.643066406,3,6,243.282470703,267.717529297,87.207321374,0.000000000,0.000000000,0.000000000,NaN,29.757817707
7,series02.tif:z:3/9 t:7/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,8115.586956522,1710.401320660,7415.703125000,6262.213867188,11781.713867188,320.872330755,331.746420049,0,0,27.982999235,316.378991414,318.930434894,10.205773917,28.065878271,0,0,-106.557071376,0.600704785,27.983021307,303780.354301484,7412.030761719,0,0,0,186658.500000000,3,7,248.396774292,270.558837891,73.442923462,0.000000000,0.000000000,0.000000000,NaN,27.982999235
8,series02.tif:z:3/9 t:8/95 - Mark_and_Find 001/mN 50 vv%002,39.059182964,8023.480183919,1624.084361498,8381.949743271,5641.688476562,11231.384765625,325.946894728,334.646168111,0,0,29.801936067,315.103269675,325.309043591,22.962991312,20.411547833,0,0,41.054813771,0.552642221,29.801939464,313390.580509574,8078.901367188,0,0,0,192563.524414062,3,8,246.692001343,269.990570068,41.054821964,1.776E-15,0.000000000,0.000000000,NaN,29.801936067
9,series02.tif:z:3/9 t:9/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,7645.991232167,1040.282120668,6744.496554375,6012.378417969,9723.709960938,327.396788225,336.820984023,0,0,27.982999235,313.827547935,332.963374029,28.065878271,8.930052177,0,0,16.557071376,0.600704785,27.983026855,286202.580039787,7620.927246094,0,0,0,175857.798339844,3,9,246.123748779,267.149291992,16.557114743,0.000000000,0.000000000,0.000000000,NaN,27.982999235
10,series02.tif:z:2/9 t:10/95 - Mark_and_Find 001/mN 50 vv%002,42.314114877,8024.075570913,1500.577999561,8077.377334595,4328.063476562,11111.274414062,326.671846343,337.183440364,0,0,31.474352445,311.276104456,335.514817508,31.893043489,5.102886958,0,0,7.943471811,0.536761697,31.474354773,339531.655492374,8001.846679688,0,0,0,208625.964843750,2,10,243.850723267,266.012756348,7.943473443,0.000000000,0.000000000,0.000000000,NaN,31.474352445
11,series02.tif:z:3/9 t:11/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,7493.136718750,598.704864487,6602.008069992,6598.244140625,8525.375976562,331.021478168,341.170615848,0,0,27.604833214,317.654713154,338.066260987,28.065878271,7.654330437,0,0,13.671307132,0.617275952,27.604834588,280480.973150329,7469.905761719,0,0,0,172342.144531250,3,11,248.965042114,269.990570068,13.671310315,0.000000000,0.000000000,0.000000000,NaN,27.604833214
12,series02.tif:z:3/9 t:12/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,7579.804156760,508.760955646,7234.156543732,6777.970703125,8676.890625000,333.558769887,340.808159506,0,0,27.888938468,320.206156633,338.066260987,28.065878271,6.378608698,0,0,8.972626615,0.604763601,27.888952634,283725.084163615,7520.571777344,0,0,0,174335.495605469,3,12,250.669815063,268.854064941,8.972624536,0.000000000,0.000000000,0.000000000,NaN,27.888938468
13,series02.tif:z:2/9 t:13/95 - Mark_and_Find 001/mN 50 vv%002,39.059182964,9194.667012533,1439.560989166,8925.915394783,7083.049316406,12296.018554688,336.096042141,344.795296058,0,0,29.589568021,324.033321852,336.790539248,25.514434791,16.584382614,0,0,30.963756532,0.560603453,29.589581816,359136.181133092,9072.275390625,0,0,0,220672.008300781,2,13,253.511093140,276.241394043,30.963750068,0.000000000,0.000000000,0.000000000,NaN,29.589568021
14,series02.tif:z:2/9 t:14/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,8822.490574049,1455.700269675,5723.040694237,5709.322753906,12732.908203125,338.995799935,345.157771865,0,0,28.420915288,327.860487071,336.790539248,24.238713052,17.860104354,0,0,37.746805387,0.582335804,28.420878837,330240.970463921,8854.041015625,0,0,0,202917.283203125,2,14,256.920654297,277.377899170,37.746775358,0.000000000,0.000000000,0.000000000,NaN,28.420915288
15,series02.tif:z:2/9 t:15/95 - Mark_and_Find 001/mN 50 vv%002,39.059182964,9121.359639486,1307.924667631,7366.234117508,7357.197265625,11984.065429688,339.358275743,349.144927882,0,0,29.330905192,330.411930550,338.066260987,19.135826094,22.962991312,0,0,50.013113755,0.570534730,29.330885125,356272.855036664,8707.767578125,0,0,0,218912.631347656,2,15,258.625427246,282.492218018,50.013100597,0.000000000,0.000000000,0.000000000,NaN,29.330905192
16,series02.tif:z:2/9 t:16/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,8788.455019531,1451.363678938,8081.031881332,6295.343750000,11770.028320312,340.808140040,352.407171217,0,0,30.824805112,330.411930550,340.617704466,21.687269573,24.238713052,0,0,48.814074834,0.538097664,30.824812465,357572.783933742,8208.294921875,0,0,0,219711.375488281,2,16,259.193664551,285.333526611,48.814040797,0.000000000,0.000000000,0.000000000,NaN,30.824805112
17,series02.tif:z:2/9 t:17/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,9038.438398437,1486.728432647,7971.228150368,7043.787597656,13210.665039062,340.445683699,351.682219602,0,0,30.765075329,327.860487071,343.169147945,26.790156531,17.860104354,0,0,34.438989309,0.540189104,30.765051167,367743.769907275,8850.414062500,0,0,0,225960.959960938,2,17,256.920654297,282.492218018,34.438943179,0.000000000,0.000000000,0.000000000,NaN,30.765075329
18,series02.tif:z:2/9 t:18/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,8224.124980469,1711.593898641,5664.043517113,5650.870605469,12395.401367188,341.533091655,351.682219602,0,0,30.824805112,330.411930550,341.893426206,24.238713052,21.687269573,0,0,41.185925166,0.538097664,30.824812465,334612.085759084,8347.059570312,0,0,0,205603.124511719,2,18,258.625427246,283.628753662,41.185959203,0.000000000,0.000000000,0.000000000,NaN,30.824805112
19,series02.tif:z:2/9 t:19/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,7811.865830078,2001.437003574,5628.566803455,3853.694580078,11009.084960938,338.270848321,349.144947348,0,0,30.773615253,326.584765331,338.066260987,24.238713052,22.962991312,0,0,43.090847567,0.539889332,30.773595994,317838.642442855,7872.394531250,0,0,0,195296.645751953,2,19,256.352386475,281.923980713,43.090862935,0.000000000,0.000000000,0.000000000,NaN,30.773615253
20,series02.tif:z:2/9 t:20/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,7720.610605469,1648.883399560,8757.546632767,4456.750976562,11403.146484375,337.183440364,346.607636163,0,0,31.028720048,325.309043591,336.790539248,25.514434791,20.411547833,0,0,37.405356631,0.531048349,31.028700179,314125.773157007,7696.238769531,0,0,0,193015.265136719,2,20,254.647613525,279.082672119,37.405366709,0.000000000,0.000000000,0.000000000,NaN,31.028720048
21,series02.tif:z:2/9 t:21/95 - Mark_and_Find 001/mN 50 vv%002,40.686648921,8974.049687500,1501.869535282,8953.642083168,5462.686035156,12363.726562500,337.545916172,348.419995734,0,0,30.360989451,329.136208810,335.514817508,17.860104354,26.790156531,0,0,56.689369175,0.554663955,30.360979924,365124.009030914,8956.577148438,0,0,0,224351.242187500,2,21,258.057159424,283.060485840,56.689376193,0.000000000,0.000000000,0.000000000,NaN,30.360989451
22,series02.tif:z:3/9 t:22/95 - Mark_and_Find 001/mN 50 vv%002,48.823978705,7413.366634115,865.164816788,6427.119453430,5510.389648438,8792.666992188,336.820974290,345.882704014,0,0,37.198596642,321.481878373,335.514817508,31.893043489,21.687269573,0,0,-33.070677823,0.443394110,37.198587389,361950.054673877,7502.633789062,0,0,0,222400.999023438,3,22,251.806320190,263.171478271,146.929350224,0.000000000,0.000000000,0.000000000,NaN,37.198596642
23,series02.tif:z:3/9 t:23/95 - Mark_and_Find 001/mN 50 vv%002,47.196512748,7712.442702721,865.589450311,6678.310488701,6181.756347656,9976.319335938,338.995799935,348.057539392,0,0,35.344001525,331.687652289,331.687652289,16.584382614,33.168765229,0,0,-64.486129572,0.474775544,35.343999644,364000.400335967,7722.791015625,0,0,0,223660.838378906,3,23,259.761932373,260.330200195,115.513879489,0.000000000,0.000000000,0.000000000,NaN,35.344001525
24,series02.tif:z:3/9 t:24/95 - Mark_and_Find 001/mN 50 vv%002,48.823978705,7479.556998698,962.913626493,6760.206361771,5677.267578125,10259.620117188,338.633343594,349.507403690,0,0,37.613058910,330.411930550,332.963374029,17.860104354,34.444486969,0,0,-62.447188423,0.433676334,37.613080877,365181.731624747,7417.060546875,0,0,0,224386.709960938,3,24,258.625427246,260.898437500,117.552802433,0.000000000,0.000000000,0.000000000,NaN,37.613058910
25,series02.tif:z:3/9 t:25/95 - Mark_and_Find 001/mN 50 vv%002,48.823978705,7755.900455729,1137.633421945,7329.415390968,4751.469238281,10138.850585938,340.808140040,349.869879497,0,0,37.367746116,335.514817508,331.687652289,12.757217396,36.995930448,0,0,-71.916554617,0.439389045,37.367735865,378673.918686014,7753.008789062,0,0,0,232677.013671875,3,25,262.603210449,260.330200195,108.083476651,0.000000000,0.000000000,0.000000000,NaN,37.367746116
26,series02.tif:z:3/9 t:26/95 - Mark_and_Find 001/mN 50 vv%002,47.196512748,7958.136550377,888.638698803,7288.841259003,5838.273437500,9941.537109375,342.620499611,350.957287453,0,0,36.050657059,338.066260987,332.963374029,10.205773917,36.995930448,0,0,-74.845931950,0.456345115,36.050670479,375596.293148941,7911.014648438,0,0,0,230785.959960938,3,26,264.876251221,261.466705322,105.154087958,0.000000000,0.000000000,0.000000000,NaN,36.050657059
27,series02.tif:z:3/9 t:27/95 - Mark_and_Find 001/mN 50 vv%002,47.196512748,7951.598834860,1469.228557653,7857.535918236,5389.164550781,11870.221679688,343.707907567,352.407151751,0,0,35.544168420,340.617704466,335.514817508,7.654330437,35.720208708,0,0,-78.231711068,0.469443207,35.544180953,375287.735775190,7748.294433594,0,0,0,230596.366210938,3,27,266.581024170,262.603210449,101.768309411,8.882E-16,0.000000000,0.000000000,NaN,35.544168420
28,series02.tif:z:3/9 t:28/95 - Mark_and_Find 001/mN 50 vv%002,48.823978705,8154.609309896,1620.618687596,6870.423330307,5380.063476562,11388.443359375,345.882723480,353.857035514,0,0,36.707950452,343.169147945,335.514817508,6.378608698,38.271652187,0,0,-80.909723079,0.455326323,36.707945798,398140.471291209,7948.497070312,0,0,0,244638.279296875,3,28,268.854064941,263.171478271,99.090260120,0.000000000,0.000000000,0.000000000,NaN,36.707950452
