seriesIndex,organoidLabel,Frame,X,Y,Slice,Length,FeretAngle
12,A,1,236.74591087752347,262.60144964953076,4,67.434457136,153.159507713
12,A,2,236.74684165741843,264.01653258872267,4,65.880935588,155.961418777
12,A,3,238.16506025621507,263.4982255321218,4,68.699304881,158.198584484
12,A,4,240.16504678737851,262.4982322665401,4,63.785703262,143.130091863
12,A,5,236.66507035745062,265.16487843162423,4,60.582614942,156.854213411
12,A,6,238.83172751953703,261.1649053685136,4,58.738286642,145.619681669
12,A,7,235.665077091085,264.33154816756434,4,53.805634240,160.132944344
12,A,8,234.83175445642635,263.83155153438156,4,53.044075609,167.969419074
12,A,9,231.1651073955754,264.49821879770354,4,56.981894914,0.000000000
12,A,10,231.66510402797434,257.1649399348041,4,48.575883093,159.502647794
12,A,11,229.9984511284719,260.49824573459284,3,48.501374447,148.260867269
12,A,12,226.83180070080377,258.99826346522957,3,70.923022315,20.716879958
12,A,13,225.33181080203929,253.83162650561417,3,67.954313174,5.746263766
12,A,14,223.49849490101505,257.33160293632596,3,62.965388905,154.819450475
12,A,15,221.4985083690678,254.8316121425785,3,58.510032184,147.464936721
12,A,16,219.49852183790438,255.66494240663837,3,58.033695919,151.557065743
12,A,17,218.83186220398366,253.33162987321526,3,56.850045522,146.904267623
12,A,18,220.4985151034861,253.4982928739532,3,54.244106116,138.814074834
12,A,19,218.66519920246185,254.99828277271766,3,55.577812319,148.134022306
12,A,20,219.66518483864232,252.49829197897026,3,59.242539818,134.127542742
12,A,21,219.66518483864232,252.49829197897026,4,59.242539818,134.127542742
12,A,22,217.49853530595712,251.9983029751887,4,56.261738347,122.969403903
12,A,23,216.99853867355822,251.33163571186674,4,56.532672219,134.390502624
12,A,24,219.66519246804356,248.16499291359986,4,58.973323682,128.853386204
12,A,25,222.83183526709433,252.83162561063125,4,39.981420638,113.838756205
12,A,26,220.4985151034861,253.664955875475,4,41.204225817,121.065144772
12,A,27,221.6651713705896,250.66498370734726,4,39.531129202,101.793416635
12,A,28,220.83184873514708,251.16498034053004,4,38.796998217,116.003328830
12,A,29,218.49852857232267,251.83163234504954,4,37.507825565,122.969414691
12,A,30,219.99851847108718,251.49830634278976,4,39.428073046,163.715090342
12,A,31,220.83184110574584,251.49830634278976,4,38.271421957,90.000000000
12,A,32,220.4985151034861,252.16497360611172,4,38.787675377,74.744886341
12,A,33,218.9985252047216,249.4983121814413,4,40.931230505,66.097945909
12,A,34,218.3318655708009,248.16499291359986,4,40.245133857,51.434737687
12,A,35,221.4985083690678,248.99833080784484,4,39.198089323,74.908429791
12,A,36,218.66519920246185,248.49833417466203,4,41.274383111,117.621070807
12,A,37,219.33185883638257,246.99834427589755,4,41.250280000,142.539443467
12,A,38,219.33185883638257,249.3316568101046,4,36.565524908,81.304505636
12,A,39,218.6651915730606,249.3316568101046,4,37.173684251,35.690078358
12,A,40,218.1651949406617,246.66500301483535,4,43.997239128,122.768519904
12,A,41,217.9985319391399,244.4983458527489,4,42.364037795,109.344332179
12,A,42,213.99855887602922,242.83169295324646,4,46.053493711,132.380474013
12,A,43,213.6652328737695,243.99834922035,4,46.368496745,137.973737038
12,A,44,217.16520167429616,239.49838715345774,4,46.922852851,133.531204455
12,A,45,221.3318377389286,234.33175782324358,4,47.065224375,124.695158027
12,A,46,222.99849826783228,228.49846122970746,4,50.259104681,122.210919838
12,A,47,223.1651688987553,225.99847806536124,4,50.208708775,117.216111557
12,A,48,222.16517563317362,226.49847469854402,4,50.350767616,127.450569252
12,A,49,222.66516463617128,227.66513096486366,4,48.503238558,115.441744834
12,A,50,222.16517563317362,229.33178386514996,4,48.021781674,129.610688240
12,A,51,225.33181843144052,230.3317847601329,3,47.371591967,114.954754379
12,A,52,225.1651478005175,231.33177802571458,3,46.824479961,124.267346475
12,A,53,225.16515542991874,230.99844439405362,3,48.089513417,111.801409486
12,A,54,222.83183526709433,227.49846796412572,3,48.893127322,130.060780490
12,A,55,223.49849490101505,227.66513096486366,3,47.628556782,119.998671922
12,A,56,223.49849490101505,232.3317712920802,3,44.568920964,127.635261873
12,A,57,225.66514443370028,228.99845786289023,3,46.212241889,116.800820512
12,A,58,221.99850500225057,228.83179486136842,3,45.888285907,119.415588698
12,A,59,223.49849490101505,227.49846796412572,3,46.845715116,105.802509632
12,A,60,223.83182090327483,228.99845786289023,3,42.175809290,86.531770741
12,A,61,223.83182090327483,228.99845786289023,4,42.175809290,86.531770741
12,A,62,222.33183100451032,230.99844439405362,4,45.992593256,72.235151632
12,A,63,221.66517899999084,231.66510402797434,4,46.039749037,111.113497170
12,A,64,222.83183526709433,230.66511076239263,4,43.058368261,55.054347623
12,A,65,222.99849826783228,229.9984511284719,4,44.684403054,163.979719099
12,A,66,221.6651713705896,231.1651073955754,4,45.412952045,43.861823222
12,A,67,221.16517473740683,230.16511412999373,4,45.299327292,39.667852675
12,A,68,221.83184200072878,231.33177802571458,4,44.811694913,136.153450687
12,A,69,219.49852183790438,231.83177465889736,4,46.969074685,42.064321824
12,A,70,220.9985117366689,232.49843429281813,4,45.165402898,52.266967426
12,A,71,222.16517563317362,230.99844439405362,4,43.175796580,39.805557863
12,A,72,223.665157901753,231.4984410272364,4,46.233758246,55.871459582
12,A,73,222.99849826783228,229.83178812695013,4,44.972816133,40.013672560
12,A,74,226.1651486962843,231.1651073955754,4,46.706546155,56.888662388
12,A,75,221.99850500225057,227.99846459730855,4,46.555310314,39.068463009
12,A,76,223.16516126935406,230.33177713073167,4,44.900383133,61.735988559
12,A,77,222.83183526709433,229.16512086362818,4,44.647967295,107.744682093
12,A,78,222.16516800377238,229.6651251262122,4,46.163303782,121.054278016
12,A,79,221.6651713705896,227.8318015957867,4,46.893941070,149.481766517
12,A,80,223.49849490101505,227.49846796412572,4,46.051530438,175.763621303
12,A,81,222.33183100451032,229.66511749681095,4,45.470652155,65.112584848
12,A,82,221.8318343721114,230.83178139331568,4,43.904667394,158.404681678
12,A,83,224.3318175364576,232.16510066115717,4,39.965587755,110.556048486
12,A,84,224.3318175364576,232.16510066115717,4,39.965587755,110.556048486
12,A,85,224.99848479977956,232.3317712920802,4,43.119219279,84.907885641
12,A,86,224.99848479977956,232.83176029507786,4,43.167419437,108.970407808
12,A,87,226.331804067621,233.99842419158261,4,42.816211056,124.479225517
12,A,88,224.99848479977956,233.16509392673885,4,43.832531993,104.036261982
12,A,89,223.831828532676,232.66509729433994,4,44.054741145,126.759289881
12,A,90,221.16517473740683,234.33175782324358,4,46.124115911,139.112217475
12,A,91,217.49853530595712,235.665077091085,4,48.419282509,136.067515868
12,A,92,215.83187477705349,235.1650804586861,4,51.205438574,147.893750195
12,A,93,214.831889140873,235.49841409034707,4,52.461344337,160.096252875
12,A,94,217.33186467581794,236.99840398911158,4,47.295186124,146.738558061
12,A,95,216.66520504189722,237.16506698984952,4,45.484568801,131.589055732
1,E,1,417.49970000346616,351.49974742795905,2,35.030120346,100.491477012
1,E,2,414.3276746951636,352.6717741742701,1,33.793330018,112.714429345
1,E,3,416.60071383325015,352.67178943307255,1,30.039055548,98.325653915
1,E,4,416.8848322811152,357.21783719164074,1,34.992831612,103.172599644
1,E,5,415.7483279712663,361.479766502344,1,33.418010689,93.731395551
1,E,6,415.46419426381493,358.63849046774345,1,36.964752303,101.309956143
1,E,7,414.3276746951636,354.9448133123567,1,31.707252521,100.539238417
1,E,8,415.18006055714744,353.2400415876051,1,29.375664725,105.751222386
1,E,9,415.46419426381493,359.4908610709249,1,38.748620581,107.417989101
1,E,10,416.03244641913136,358.35434150148967,1,34.834781667,77.988558927
1,E,11,416.3165801265827,356.3654513296569,1,33.355046882,91.245386069
1,E,12,415.4641790050125,355.79719917434056,1,35.067843127,82.874983651
1,E,13,413.4752888331797,356.93370348418944,1,34.804595542,88.806553294
1,E,14,414.0435409877122,358.07022305362466,1,34.804595542,88.806487882
1,E,15,416.60071383325015,357.78608934695717,1,31.172352740,90.000000000
1,E,16,416.8848322811152,360.05912848504374,1,33.582729026,103.736311321
1,E,17,417.1689659885666,357.78608934695717,1,32.750853983,95.079630474
1,E,18,417.73721814388296,358.63849046774345,1,32.028826955,95.194384770
1,E,19,416.8848322811152,359.2067426230599,1,30.867398479,99.462274687
1,E,20,416.8848322811152,358.9226089156085,1,31.382383095,96.632558948
1,E,21,416.8848322811152,360.05912848504374,1,35.882621873,98.130067188
1,E,22,417.1689659885666,359.7749947775924,1,31.930225920,92.602539997
1,E,23,416.8848322811152,359.2067426230599,1,34.864941656,93.576334375
1,E,24,417.73721814388296,359.49087632972737,1,38.856970658,98.583662178
1,E,25,416.60069857444773,358.63847520894103,1,33.847716376,99.865792828
1,E,26,417.1689507297641,357.5019556395058,1,30.481915634,115.346186384
1,E,27,416.88481702231275,360.05911322624127,1,36.232420121,109.885152796
1,E,28,416.8848322811152,359.2067426230599,1,39.233839602,106.090826854
1,E,29,416.8848322811152,359.7749947775924,1,38.856970658,104.036201699
1,E,30,417.1689659885666,359.2067426230599,1,42.071419727,88.025082434
1,E,31,417.1689507297641,357.50197089830823,1,47.048448633,123.690067526
1,E,32,417.1689659885666,356.64956977752195,1,47.675382085,98.746180049
1,E,33,416.60069857444773,358.07022305362466,1,52.516773901,96.340182365
1,E,34,416.8848322811152,356.93371874299186,1,54.040744659,96.934350562
1,E,35,416.31656486778024,358.35434150148967,1,47.570546328,97.883141460
1,E,36,416.31656486778024,361.479766502344,1,49.066069797,102.804276141
1,E,37,416.8848322811152,356.3654513296569,1,51.183939302,105.610964461
1,E,38,419.1578561603993,355.5130654668892,1,48.835245148,95.964500662
1,E,39,419.7261083157157,355.2289317602217,1,52.601764690,97.125016349
1,E,40,419.72612357451817,354.9448133123567,1,53.044493861,86.081763205
1,E,41,420.57849417769955,355.7971839155381,1,54.346212699,80.788971269
1,E,42,420.57849417769955,355.7971839155381,1,53.723758809,86.905968834
1,E,43,418.30547029841546,355.79719917434056,1,52.215700674,88.408873963
1,E,44,416.03244641913136,355.5130654668892,1,52.920505814,90.000000000
1,E,45,416.3165801265827,352.10352201895375,1,51.475733889,0.806944102
1,E,46,416.88481702231275,352.38764046681877,1,55.839085952,178.512145437
1,E,47,416.8848322811152,351.5352698636373,1,54.413861607,2.290610043
1,E,48,417.4530844364316,351.25113615696984,1,55.895527091,2.973745057
1,E,49,417.7372028850805,351.25113615696984,1,58.284328903,5.710581713
1,E,50,418.02135185055045,343.8637971042149,1,60.169890172,0.000000000
1,E,51,417.1689507297641,344.7161677081801,1,58.468880277,107.311649893
1,E,52,414.89592685048,342.44314382811217,1,57.818101100,59.898684309
1,E,53,414.3276746951636,346.1368209842828,1,44.969562050,69.227782101
1,E,54,407.2244540910575,346.4209546909503,1,33.014559150,81.158163186
1,E,55,408.9292410738277,343.2955296908799,1,39.686655187,80.537677792
1,E,56,412.3387692637445,345.00030141484757,1,40.265093377,76.464125678
1,E,57,413.7594225398472,346.4209546909503,1,44.599918830,97.471546982
1,E,58,413.4752888331797,346.42093943214786,1,44.934488943,107.850291873
1,E,59,416.03244641913136,345.28443512151506,1,44.221244584,90.000000000
1,E,60,416.03244641913136,348.69397857023444,1,48.570875199,90.000000000
1,E,61,415.74831271246387,345.568553570164,1,49.936630503,99.188823756
